date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-07-27",utla,N09000003,Belfast,0
"2020-05-12",utla,N09000007,Lisburn and Castlereagh,7
"2020-07-26",utla,N09000003,Belfast,0
"2020-06-18",utla,E06000040,Windsor and Maidenhead,0
"2020-03-06",utla,W06000023,Powys,0
"2020-03-05",utla,W06000023,Powys,0
"2020-03-02",utla,S12000008,East Ayrshire,0
"2020-03-01",utla,S12000008,East Ayrshire,0
"2020-02-29",utla,S12000008,East Ayrshire,0
"2020-05-11",utla,N09000007,Lisburn and Castlereagh,3
"2020-09-21",utla,E10000017,Lancashire,195
"2020-02-28",utla,S12000008,East Ayrshire,0
"2020-11-10",utla,E06000037,West Berkshire,29
"2020-05-01",utla,W06000014,Vale of Glamorgan,4
"2020-09-20",utla,E10000017,Lancashire,176
"2020-11-09",utla,E06000037,West Berkshire,38
"2020-06-10",utla,E08000003,Manchester,14
"2020-09-19",utla,E10000017,Lancashire,241
"2020-11-03",utla,E06000044,Portsmouth,73
"2020-11-08",utla,E06000037,West Berkshire,27
"2020-06-09",utla,E08000003,Manchester,16
"2020-04-04",utla,S12000038,Renfrewshire,8
"2020-04-03",utla,S12000038,Renfrewshire,13
"2020-05-10",utla,N09000007,Lisburn and Castlereagh,5
"2020-05-25",utla,S12000039,West Dunbartonshire,1
"2020-05-24",utla,S12000039,West Dunbartonshire,1
"2020-05-09",utla,N09000007,Lisburn and Castlereagh,5
"2020-03-04",utla,W06000023,Powys,0
"2020-03-03",utla,W06000023,Powys,0
"2020-05-23",utla,S12000039,West Dunbartonshire,2
"2020-05-22",utla,S12000039,West Dunbartonshire,0
"2020-03-02",utla,W06000023,Powys,0
"2020-05-08",utla,N09000007,Lisburn and Castlereagh,5
"2020-05-21",utla,S12000039,West Dunbartonshire,5
"2020-05-07",utla,N09000007,Lisburn and Castlereagh,1
"2020-07-25",utla,N09000003,Belfast,0
"2020-05-06",utla,N09000007,Lisburn and Castlereagh,2
"2020-05-20",utla,S12000039,West Dunbartonshire,7
"2020-05-05",utla,N09000007,Lisburn and Castlereagh,6
"2020-07-24",utla,N09000003,Belfast,0
"2020-08-29",utla,E06000009,Blackpool,0
"2020-05-04",utla,N09000007,Lisburn and Castlereagh,2
"2020-07-23",utla,N09000003,Belfast,0
"2020-07-22",utla,N09000003,Belfast,1
"2020-03-01",utla,W06000023,Powys,0
"2020-07-21",utla,N09000003,Belfast,2
"2020-02-29",utla,W06000023,Powys,0
"2020-07-20",utla,N09000003,Belfast,0
"2020-02-28",utla,W06000023,Powys,0
"2020-02-27",utla,W06000023,Powys,0
"2020-07-19",utla,N09000003,Belfast,2
"2020-07-18",utla,N09000003,Belfast,0
"2020-11-02",utla,E06000044,Portsmouth,115
"2020-11-07",utla,E06000037,West Berkshire,21
"2020-07-17",utla,N09000003,Belfast,2
"2020-07-16",utla,N09000003,Belfast,6
"2020-07-15",utla,N09000003,Belfast,0
"2020-11-01",utla,E06000044,Portsmouth,23
"2020-07-14",utla,N09000003,Belfast,0
"2020-08-28",utla,E06000009,Blackpool,0
"2020-07-13",utla,N09000003,Belfast,0
"2020-09-18",utla,E10000017,Lancashire,156
"2020-10-31",utla,E06000044,Portsmouth,37
"2020-09-17",utla,E10000017,Lancashire,129
"2020-10-30",utla,E06000044,Portsmouth,68
"2020-04-02",utla,S12000038,Renfrewshire,16
"2020-09-16",utla,E10000017,Lancashire,197
"2020-10-29",utla,E06000044,Portsmouth,59
"2021-01-31",utla,E08000031,Wolverhampton,90
"2020-05-03",utla,N09000007,Lisburn and Castlereagh,2
"2020-08-27",utla,E06000009,Blackpool,0
"2021-01-30",utla,E08000031,Wolverhampton,108
"2020-05-02",utla,N09000007,Lisburn and Castlereagh,5
"2020-06-08",utla,E08000003,Manchester,18
"2020-08-26",utla,E06000009,Blackpool,5
"2020-08-25",utla,E06000009,Blackpool,5
"2020-06-07",utla,E08000003,Manchester,8
"2020-08-24",utla,E06000009,Blackpool,1
"2020-08-23",utla,E06000009,Blackpool,2
"2020-08-22",utla,E06000009,Blackpool,0
"2020-06-06",utla,E08000003,Manchester,9
"2020-09-15",utla,E10000017,Lancashire,167
"2020-08-21",utla,E06000009,Blackpool,2
"2020-06-05",utla,E08000003,Manchester,22
"2020-06-04",utla,E08000003,Manchester,17
"2021-01-29",utla,E08000031,Wolverhampton,134
"2020-06-03",utla,E08000003,Manchester,18
"2021-01-28",utla,E08000031,Wolverhampton,183
"2020-06-02",utla,E08000003,Manchester,24
"2020-06-17",utla,E06000040,Windsor and Maidenhead,1
"2020-06-16",utla,E06000040,Windsor and Maidenhead,0
"2021-01-27",utla,E08000031,Wolverhampton,160
"2020-06-01",utla,E08000003,Manchester,18
"2021-01-26",utla,E08000031,Wolverhampton,200
"2020-05-31",utla,E08000003,Manchester,20
"2020-05-19",utla,S12000039,West Dunbartonshire,6
"2020-05-30",utla,E08000003,Manchester,24
"2020-04-30",utla,W06000014,Vale of Glamorgan,7
"2020-05-01",utla,N09000007,Lisburn and Castlereagh,3
"2020-07-12",utla,N09000003,Belfast,0
"2020-10-28",utla,E06000044,Portsmouth,80
"2020-10-27",utla,E06000044,Portsmouth,86
"2020-10-26",utla,E06000044,Portsmouth,84
"2020-07-11",utla,N09000003,Belfast,4
"2020-10-25",utla,E06000044,Portsmouth,49
"2020-07-10",utla,N09000003,Belfast,1
"2020-10-24",utla,E06000044,Portsmouth,42
"2020-07-09",utla,N09000003,Belfast,1
"2020-10-23",utla,E06000044,Portsmouth,62
"2020-09-14",utla,E10000017,Lancashire,166
"2020-07-08",utla,N09000003,Belfast,1
"2020-10-22",utla,E06000044,Portsmouth,89
"2020-09-13",utla,E10000017,Lancashire,115
"2020-09-12",utla,E10000017,Lancashire,133
"2020-07-07",utla,N09000003,Belfast,1
"2020-09-11",utla,E10000017,Lancashire,114
"2020-10-21",utla,E06000044,Portsmouth,88
"2020-07-06",utla,N09000003,Belfast,1
"2020-09-10",utla,E10000017,Lancashire,125
"2020-07-05",utla,N09000003,Belfast,1
"2020-10-20",utla,E06000044,Portsmouth,93
"2020-06-15",utla,E06000040,Windsor and Maidenhead,0
"2020-07-04",utla,N09000003,Belfast,0
"2020-10-19",utla,E06000044,Portsmouth,69
"2020-06-14",utla,E06000040,Windsor and Maidenhead,0
"2020-07-03",utla,N09000003,Belfast,0
"2020-06-13",utla,E06000040,Windsor and Maidenhead,0
"2020-10-18",utla,E06000044,Portsmouth,36
"2020-05-18",utla,S12000039,West Dunbartonshire,1
"2020-05-17",utla,S12000039,West Dunbartonshire,4
"2020-04-29",utla,W06000014,Vale of Glamorgan,8
"2020-05-16",utla,S12000039,West Dunbartonshire,1
"2020-04-28",utla,W06000014,Vale of Glamorgan,4
"2020-05-15",utla,S12000039,West Dunbartonshire,2
"2020-04-30",utla,N09000007,Lisburn and Castlereagh,13
"2021-01-25",utla,E08000031,Wolverhampton,167
"2020-11-06",utla,E06000037,West Berkshire,33
"2020-04-27",utla,W06000014,Vale of Glamorgan,9
"2020-05-14",utla,S12000039,West Dunbartonshire,5
"2020-04-29",utla,N09000007,Lisburn and Castlereagh,3
"2020-04-28",utla,N09000007,Lisburn and Castlereagh,7
"2020-05-29",utla,E08000003,Manchester,20
"2020-04-27",utla,N09000007,Lisburn and Castlereagh,10
"2020-04-26",utla,N09000007,Lisburn and Castlereagh,1
"2020-04-25",utla,N09000007,Lisburn and Castlereagh,3
"2020-04-24",utla,N09000007,Lisburn and Castlereagh,2
"2020-04-01",utla,S12000038,Renfrewshire,7
"2020-05-28",utla,E08000003,Manchester,32
"2020-05-27",utla,E08000003,Manchester,11
"2020-05-26",utla,E08000003,Manchester,23
"2020-05-25",utla,E08000003,Manchester,24
"2020-08-20",utla,E06000009,Blackpool,2
"2020-05-24",utla,E08000003,Manchester,16
"2020-08-19",utla,E06000009,Blackpool,3
"2020-08-18",utla,E06000009,Blackpool,0
"2020-08-17",utla,E06000009,Blackpool,1
"2020-08-16",utla,E06000009,Blackpool,0
"2020-08-15",utla,E06000009,Blackpool,0
"2020-05-23",utla,E08000003,Manchester,17
"2020-07-02",utla,N09000003,Belfast,0
"2020-05-22",utla,E08000003,Manchester,27
"2020-10-17",utla,E06000044,Portsmouth,46
"2020-09-09",utla,E10000017,Lancashire,96
"2020-05-13",utla,S12000039,West Dunbartonshire,6
"2020-11-05",utla,E06000037,West Berkshire,22
"2020-09-08",utla,E10000017,Lancashire,111
"2021-01-24",utla,E08000031,Wolverhampton,92
"2020-05-12",utla,S12000039,West Dunbartonshire,11
"2020-05-11",utla,S12000039,West Dunbartonshire,3
"2020-11-04",utla,E06000037,West Berkshire,28
"2021-01-23",utla,E08000031,Wolverhampton,192
"2020-04-23",utla,N09000007,Lisburn and Castlereagh,2
"2020-04-22",utla,N09000007,Lisburn and Castlereagh,6
