date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-09-14",utla,N09000003,Belfast,29
"2020-10-06",utla,E06000009,Blackpool,51
"2020-09-13",utla,N09000003,Belfast,26
"2020-09-12",utla,N09000003,Belfast,24
"2020-07-09",utla,N09000007,Lisburn and Castlereagh,0
"2020-04-20",utla,S12000008,East Ayrshire,10
"2020-04-19",utla,S12000008,East Ayrshire,7
"2020-09-11",utla,N09000003,Belfast,18
"2020-04-18",utla,S12000008,East Ayrshire,7
"2020-10-05",utla,E06000009,Blackpool,44
"2020-04-17",utla,S12000008,East Ayrshire,5
"2020-07-08",utla,N09000007,Lisburn and Castlereagh,1
"2020-10-04",utla,E06000009,Blackpool,37
"2020-07-07",utla,N09000007,Lisburn and Castlereagh,1
"2020-05-14",utla,S12000038,Renfrewshire,4
"2020-05-13",utla,S12000038,Renfrewshire,10
"2020-05-12",utla,S12000038,Renfrewshire,14
"2020-05-11",utla,S12000038,Renfrewshire,19
"2020-07-06",utla,N09000007,Lisburn and Castlereagh,3
"2020-10-03",utla,E06000009,Blackpool,35
"2020-03-02",utla,S12000027,Shetland Islands,0
"2020-09-10",utla,N09000003,Belfast,23
"2020-09-09",utla,N09000003,Belfast,34
"2020-09-08",utla,N09000003,Belfast,14
"2020-09-07",utla,N09000003,Belfast,20
"2020-09-06",utla,N09000003,Belfast,33
"2020-07-27",utla,E08000003,Manchester,32
